MENU_NAME,BILLS,SALES
AMERICANO,125,8855.00
MILK GREEN TEA,53,2975.00
ESPRESSO,42,2430.00
MILK THAI TEA,33,1830.00
ขนมชั้นสีธรรมชาติ,27,1215.00
เพียว มัทฉะ,20,1730.00
เค้กไร้เทียมทาน,20,1400.00
coconut milk,19,1615.00
MILK,19,950.00
caramel pudding,18,1370.00
เค้กสตรอเบอรี่,18,1350.00
LATTE,18,1180.00
CAPPUCCINO,18,1130.00
CAOCO,18,1110.00
โคคุมะปัง,18,990.00
MATCHA LATTE,17,1445.00
เค้กส้ม,17,1290.00
ช้อคโกแลตเค้ก,16,1375.00
ปังไส้กรอกจิ๋ว,16,1215.00
คุกกี้ งาขี้ม่อน,15,1145.00
ขนมปังกระเทียมชีสเกาหลี,15,1025.00
ชาเขียวนม ซื้อ 1 แถม 1! [เฉพาะที่ LINE MAN] [ดีลเดือด],14,1546.00
ชิโอะปัง original,14,1030.00
เค้กชิฟฟ่อนกล้วยหอม,12,780.00
โรลไร้แป้ง,11,1065.00
โมจิคัสตาร์ดสตรอเบอรี่ 1กล่องมี2ลูก,11,880.00
คุกกี้เนยสดธัญพืช,11,845.00
MOCHA,11,620.00
เมี่ยงคำ,10,850.00
ORANGE AMERICANO,10,835.00
ขนมปังไส้หมูหยอง,10,550.00
น้ำอ้อยมะปี๊ด,10,550.00
บลูเบอรี่เค้ก,9,675.00
น้ำเปล่า,9,135.00
Dirty,8,960.00
ชิโอะปัง แบบนุ่ม,8,535.00
LEMON TEA,8,480.00
มัทฉะ โฟม,7,735.00
เค้กมะพร้าว,7,525.00
HONEY LEMON GREEN TEA,7,455.00
softcookie redvelvet cheese,7,280.00
คุกกี้เนยสด,6,470.00
ชาเขียวนม,6,455.00
ขนมปังโทส เนยสด,6,450.00
เอสเพรสโซ,6,420.00
SMOOTHIES,6,420.00
PINK MILK ANCHAN,6,330.00
เค้กวันเกิด,5,3600.00
coconut milk coffee,5,475.00
บานอฟฟี่พาย,5,320.00
ขนมปังไส้หมูลูกเกด หมูหยอง,5,305.00
ITTALIAN SODA,5,275.00
YUSU AMERICANO MEDIUM,4,360.00
matcha yuzu,4,360.00
HONEY LEMON AMERICANO,4,350.00
อเมริกาโน่,4,310.00
Rosie peach,4,300.00
กลีบลำดวน,4,300.00
PEAH TEA,4,220.00
PINK MILK,4,200.00
Soft cookie chocolate,4,180.00
Coconut on cloud,3,375.00
เกี๊ยวหมูทรงเครื่อง,3,300.00
Einspanner,3,255.00
strawberry coco,3,240.00
Peachy,3,225.00
HONEY LEMON THAITEA,3,195.00
HONEY AMRIANO,3,195.00
บ๊วย มะนาวโซดา,3,180.00
LEMON GREEN TEA,3,180.00
ขนมปังไส้ฝอยทอง,3,165.00
เทียน,3,90.00
แพคเกจเค้กรวมชิ้น,3,90.00
Coconut On Cloud,2,300.00
อเมริกาโน่ ซื้อคู่ถูกกว่า! [LINE MAN ONLY] [ดีลเดือด],2,274.00
กาแฟ เมี่ยงคำ,2,190.00
Dripcoffee,2,190.00
คุกกี้กระเทียมชีส,2,170.00
เฮเซลนัทโกโก้,2,160.00
Thaitea yusu,2,160.00
CARAMEL MACCHIOATO,2,150.00
PICCOLO LATTE,2,130.00
ส้มบ๊วยโซดา,2,120.00
milk caramel,2,120.00
APPLE TEA,2,110.00
EXTRA,2,40.00
ชาข้าวหอม,2,20.00
แพคเกจแยก,2,10.00
คาราเมลคอนเฟลก 140 กรัม,1,120.00
อเมริกาโนน้ำส้ม  เย็น,1,105.00
มัทฉะลาเต้,1,105.00
CARAMEL LATTE,1,100.00
มัทฉะสตรอ,1,95.00
คาราเมลชาเขียวนม,1,95.00
เฮเซลนัทลาเต้,1,90.00
มัทฉะ น้ำมะพร้าว,1,90.00
ชาไทยนม,1,80.00
กาแฟลาเต้,1,80.00
PEACH AMERICANO MEDIUM,1,80.00
คาปูชิโน,1,75.00
คุกกี้คอนเฟลก,1,75.00
HAZELNUT LATTE,1,75.00
ช็อคบอล,1,75.00
ชาเขียวน้ำผึ้งมะนาว,1,75.00
CARAMEL COCAO,1,70.00
น้ำอ้อย มะปี๊ด,1,70.00
HAZELNUT COCAO,1,70.00
HONEY LEMON,1,65.00
น้ำส้มบ้วย โซดา,1,65.00
HONEY LEMON SODA,1,65.00
PEACH SODA,1,60.00
LYCHEE HONEY LEMON TEA,1,60.00
นมสด,1,60.00
บ๊วย โซดา,1,55.00
มะนาวโซดา,1,55.00
softcookie redvelvet,1,40.00
